,Command Name,Aim,Description,code
85,create-spot-datafeed-subscription,to create a spot instance data feed,the following create-spot-datafeed-subscription example creates a spot instance data feed.,"aws ec2 create-spot-datafeed-subscription 
    --bucket my-bucket 
    --prefix spot-data-feed"
86,create-store-image-task,to store an ami in an s3 bucket,the following create-store-image-task example stores an ami in an s3 bucket. specify the id of the ami and the name of the s3 bucket in which to store the ami.,"aws ec2 create-store-image-task 
  --image-id ami-1234567890abcdef0 
  --bucket my-ami-bucket"
87,create-subnet, to create a subnet with an ipv4 cidr block only,the following create-subnet example creates a subnet in the specified vpc with the specified ipv4 cidr block.,"aws ec2 create-subnet 
    --vpc-id vpc-081ec835f3EXAMPLE 
    --cidr-block 10.0.0.0/24 
    --tag-specifications ResourceType=subnet,Tags=[{Key=Name,Value=my-ipv4-only-subnet}]"
88,create-subnet-cidr-reservation,to create a subnet cidr reservation,the following create-subnet-cidr-reservation example creates a subnet cidr reservation for the specified subnet and cidr range.,"aws ec2 create-subnet-cidr-reservation 
    --subnet-id subnet-03c51e2eEXAMPLE 
    --reservation-type prefix 
    --cidr 10.1.0.20/26"
89,create-tags,to add a tag to a resource,"the following create-tags example adds the tag stack=production to the specified image, or overwrites an existing tag for the ami where the tag key is stack.","aws ec2 create-tags 
    --resources ami-1234567890abcdef0 --tags Key=Stack,Value=production"
90,create-traffic-mirror-filter,to create a traffic mirror filter,"the following create-traffic-mirror-filter example creates a traffic mirror filter. after you create the filter, use create-traffic-mirror-filter-rule to add rules to the filter.","aws ec2 create-traffic-mirror-filter 
    --description ""TCP Filter"""
91,create-traffic-mirror-filter-rule,to create a filter rule for incoming tcp traffic,"the following create-traffic-mirror-filter-rule example creates a rule that you can use to mirror all incoming tcp traffic. before you run this command, use create-traffic-mirror-filter to create the the traffic mirror filter.","aws ec2 create-traffic-mirror-filter-rule 
    --description ""TCP Rule"" 
    --destination-cidr-block 0.0.0.0/0  
    --protocol 6 
    --rule-action accept 
    --rule-number 1 
    --source-cidr-block 0.0.0.0/0 
    --traffic-direction ingress 
    --traffic-mirror-filter-id tmf-04812ff784b25ae67"
92,create-traffic-mirror-session,to create a traffic mirror session,the following create-traffic-mirror-session command creates a traffic mirror sessions for the specified source and target for 25 bytes of the packet.,"aws ec2 create-traffic-mirror-session 
    --description ""example session"" 
    --traffic-mirror-target-id tmt-07f75d8feeEXAMPLE 
    --network-interface-id eni-070203f901EXAMPLE 
    --session-number 1  
    --packet-length 25 
    --traffic-mirror-filter-id tmf-04812ff784EXAMPLE"
93,create-traffic-mirror-target,to create a a network load balancer traffic mirror target,the following create-traffic-mirror-target example creates a  network load balancer traffic mirror target.,"aws ec2 create-traffic-mirror-target 
    --description ""Example Network Load Balancer Target"" 
    --network-load-balancer-arn arn:aws:elasticloadbalancing:us-east-1:111122223333:loadbalancer/net/NLB/7cdec873EXAMPLE"
94,create-transit-gateway,to create a transit gateway,the following create-transit-gateway example creates a transit gateway.,"aws ec2 create-transit-gateway 
    --description MyTGW 
    --options AmazonSideAsn=64516,AutoAcceptSharedAttachments=enable,DefaultRouteTableAssociation=enable,DefaultRouteTablePropagation=enable,VpnEcmpSupport=enable,DnsSupport=enable"
95,create-transit-gateway-connect,to create a transit gateway connect attachment,"the following create-transit-gateway-connect example creates a connect attachment, with the ""gre"" protocol, for the specified attachment.","aws ec2 create-transit-gateway-connect 
    --transport-transit-gateway-attachment-id tgw-attach-0a89069f57EXAMPLE 
    --options ""Protocol=gre"""
96,create-transit-gateway-connect-peer,to create a transit gateway connect peer,the following create-transit-gateway-connect-peer example creates a connect peer.,"aws ec2 create-transit-gateway-connect-peer 
    --transit-gateway-attachment-id tgw-attach-0f0927767cEXAMPLE 
    --peer-address 172.31.1.11 
    --inside-cidr-blocks 169.254.6.0/29"
97,create-transit-gateway-multicast-domain, to create an igmp multicast domain,"the following create-transit-gateway-multicast-domain example creates a multicast domain for the specified transit gateway. with static sources disabled, any instances in subnets associated with the multicast domain can send multicast traffic. if at least one member uses the igmp protocol, you must enable igmpv2 support.","aws ec2 create-transit-gateway-multicast-domain 
    --transit-gateway-id tgw-0bf0bffefaEXAMPLE 
    --options StaticSourcesSupport=disable,Igmpv2Support=enable"
98,create-transit-gateway-peering-attachment,to create a transit gateway peering attachment,the following create-transit-gateway-peering-attachment example creates a peering attachment request between the two specified transit gateways.,"aws ec2 create-transit-gateway-peering-attachment 
    --transit-gateway-id tgw-123abc05e04123abc 
    --peer-transit-gateway-id tgw-11223344aabbcc112 
    --peer-account-id 123456789012 
    --peer-region us-east-2"
99,create-transit-gateway-prefix-list-reference,to create a reference to a prefix list,the following create-transit-gateway-prefix-list-reference example creates a reference to the specified prefix list in the specified transit gateway route table.,"aws ec2 create-transit-gateway-prefix-list-reference 
    --transit-gateway-route-table-id tgw-rtb-0123456789abcd123 
    --prefix-list-id pl-11111122222222333 
    --transit-gateway-attachment-id tgw-attach-aaaaaabbbbbb11111"
100,create-transit-gateway-route,to create a transit gateway route,"the following create-transit-gateway-route example creates a route, with the specified destination, for the specified route table.","aws ec2 create-transit-gateway-route 
    --destination-cidr-block 10.0.2.0/24 
    --transit-gateway-route-table-id tgw-rtb-0b6f6aaa01EXAMPLE 
    --transit-gateway-attachment-id tgw-attach-0b5968d3b6EXAMPLE"
101,create-transit-gateway-route-table,to create a transit gateway route table,the following create-transit-gateway-route-table example creates a route table for the specified transit gateway.,"aws ec2 create-transit-gateway-route-table 
    --transit-gateway-id tgw-0262a0e521EXAMPLE"
102,create-transit-gateway-vpc-attachment, to associate a transit gateway with a vpc,the following create-transit-gateway-vpc-attachment example creates a transit gateway attachment to the specified vpc.,"aws ec2 create-transit-gateway-vpc-attachment 
    --transit-gateway-id tgw-0262a0e521EXAMPLE 
    --vpc-id vpc-07e8ffd50f49335df 
    --subnet-id subnet-0752213d59EXAMPLE"
103,create-volume,to create an empty general purpose ssd (gp2) volume,"the following create-volume example creates an 80 gib general purpose ssd (gp2) volume in the specified availability zone. note that the current region must be us-east-1, or you can add the --region parameter to specify the region for the command.","aws ec2 create-volume 
    --volume-type gp2 
    --size 80 
    --availability-zone us-east-1a"
104,create-vpc, to create a vpc,the following create-vpc example creates a vpc with the specified ipv4 cidr block and a name tag.,"aws ec2 create-vpc 
    --cidr-block 10.0.0.0/16 
    --tag-specification ResourceType=vpc,Tags=[{Key=Name,Value=MyVpc}]"
105,create-vpc-endpoint, to create a gateway endpoint,"the following create-vpc-endpoint example creates a gateway vpc endpoint between vpc vpc-1a2b3c4d and amazon s3 in the us-east-1 region, and associates route table rtb-11aa22bb with the endpoint.","aws ec2 create-vpc-endpoint 
    --vpc-id vpc-1a2b3c4d 
    --service-name com.amazonaws.us-east-1.s3 
    --route-table-ids rtb-11aa22bb"
106,create-vpc-endpoint-connection-notification,to create an endpoint connection notification,this example creates a notification for a specific endpoint service that alerts you when interface endpoints have connected to your service and when endpoints have been accepted for your service.,aws ec2 create-vpc-endpoint-connection-notification --connection-notification-arn arn:aws:sns:us-east-2:123456789012:VpceNotification --connection-events Connect Accept --service-id vpce-svc-1237881c0d25a3abc
107,create-vpc-endpoint-service-configuration, to create an endpoint service configuration for an interface endpoint,the following create-vpc-endpoint-service-configuration example creates a vpc endpoint service configuration using the network load balancer nlb-vpce. this example also specifies that requests to connect to the service through an interface endpoint must be accepted.,"aws ec2 create-vpc-endpoint-service-configuration 
    --network-load-balancer-arns arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/net/nlb-vpce/e94221227f1ba532 
    --acceptance-required"
108,create-vpc-peering-connection,to create a vpc peering connection between your vpcs,this example requests a peering connection between your vpcs vpc-1a2b3c4d and vpc-11122233.,aws ec2 create-vpc-peering-connection --vpc-id vpc-1a2b3c4d --peer-vpc-id vpc-11122233
109,create-vpn-connection, to create a vpn connection with dynamic routing,"the following create-vpn-connection example creates a vpn connection between the specified virtual private gateway and the specified customer gateway, and applies tags to the vpn connection. the output includes the configuration information for your customer gateway device, in xml format.","aws ec2 create-vpn-connection 
    --type ipsec.1 
    --customer-gateway-id cgw-001122334455aabbc 
    --vpn-gateway-id vgw-1a1a1a1a1a1a2b2b2 
    --tag-specification 'ResourceType=vpn-connection,Tags=[{Key=Name,Value=BGP-VPN}]'"
110,create-vpn-connection-route,to create a static route for a vpn connection,"this example creates a static route for the specified vpn connection. if the command succeeds, no output is returned.",aws ec2 create-vpn-connection-route --vpn-connection-id vpn-40f41529 --destination-cidr-block 11.12.0.0/16
111,create-vpn-gateway,to create a virtual private gateway,this example creates a virtual private gateway.,aws ec2 create-vpn-gateway --type ipsec.1
112,delete-carrier-gateway,to delete your carrier gateway,the following delete-carrier-gateway example deletes the specified carrier gateway.,"aws ec2 delete-carrier-gateway 
    --carrier-gateway-id cagw-0465cdEXAMPLE1111"
113,delete-client-vpn-endpoint,to delete a client vpn endpoint,the following delete-client-vpn-endpoint example deletes the specified client vpn endpoint.,"aws ec2 delete-client-vpn-endpoint 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde"
114,delete-client-vpn-route,to delete a route for a client vpn endpoint,the following delete-client-vpn-route example deletes the 0.0.0.0/0 route for the specified subnet of a client vpn endpoint.,"aws ec2 delete-client-vpn-route 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde 
    --destination-cidr-block 0.0.0.0/0 
    --target-vpc-subnet-id subnet-0123456789abcabca"
115,delete-customer-gateway,to delete a customer gateway,"this example deletes the specified customer gateway. if the command succeeds, no output is returned.",aws ec2 delete-customer-gateway --customer-gateway-id cgw-0e11f167
116,delete-dhcp-options,to delete a dhcp options set,"this example deletes the specified dhcp options set. if the command succeeds, no output is returned.",aws ec2 delete-dhcp-options --dhcp-options-id dopt-d9070ebb
117,delete-egress-only-internet-gateway,to delete an egress-only internet gateway,this example deletes the specified egress-only internet gateway.,aws ec2 delete-egress-only-internet-gateway --egress-only-internet-gateway-id eigw-01eadbd45ecd7943f
118,delete-fleets,to delete an ec2 fleet,the following delete-fleets example deletes the specified ec2 fleet and terminates the associated instances.,"aws ec2 delete-fleets 
    --fleet-ids fleet-12a34b55-67cd-8ef9-ba9b-9208dEXAMPLE 
    --terminate-instances"
119,delete-flow-logs,to delete a flow log,the following delete-flow-logs example deletes the specified flow log.,aws ec2 delete-flow-logs --flow-log-id fl-11223344556677889
120,delete-fpga-image,to delete an amazon fpga image,this example deletes the specified afi.,aws ec2 delete-fpga-image --fpga-image-id afi-06b12350a123fbabc
121,delete-instance-event-window, to delete an event window,the following delete-instance-event-window example deletes an event window.,"aws ec2 delete-instance-event-window 
    --region us-east-1 
    --instance-event-window-id iew-0abcdef1234567890"
122,delete-internet-gateway,to delete an internet gateway,the following delete-internet-gateway example deletes the specified internet gateway.,"aws ec2 delete-internet-gateway 
    --internet-gateway-id igw-0d0fb496b3EXAMPLE"
123,delete-ipam,to delete an ipam,the following delete-ipam example deletes an ipam.,"aws ec2 delete-ipam 
    --ipam-id ipam-036486dfa6af58ee0"
124,delete-ipam-scope,to delete an ipam scope,the following delete-ipam-scope example deletes an ipam.,"aws ec2 delete-ipam-scope 
    --ipam-scope-id ipam-scope-01c1ebab2b63bd7e4"
125,delete-key-pair,to delete a key pair,"this example deletes the key pair named mykeypair. if the command succeeds, no output is returned.",aws ec2 delete-key-pair --key-name MyKeyPair
126,delete-launch-template,to delete a launch template,this example deletes the specified launch template.,aws ec2 delete-launch-template --launch-template-id lt-0abcd290751193123
127,delete-launch-template-versions,to delete a launch template version,this example deletes the specified launch template version.,aws ec2 delete-launch-template-versions --launch-template-id lt-0abcd290751193123 --versions 1
128,delete-local-gateway-route,to delete a route from a local gateway route table,the following delete-local-gateway-route example deletes the specified route from the specified local gateway route table.,"aws ec2 delete-local-gateway-route 
    --destination-cidr-block 0.0.0.0/0 
    --local-gateway-route-table-id lgw-rtb-059615ef7dEXAMPLE"
129,delete-managed-prefix-list,to delete a prefix list,the following delete-managed-prefix-list example deletes the specified prefix list.,"aws ec2 delete-managed-prefix-list 
    --prefix-list-id pl-0123456abcabcabc1"
130,delete-nat-gateway,to delete a nat gateway,this example deletes nat gateway nat-04ae55e711cec5680.,aws ec2 delete-nat-gateway --nat-gateway-id nat-04ae55e711cec5680
131,delete-network-acl,to delete a network acl,"this example deletes the specified network acl. if the command succeeds, no output is returned.",aws ec2 delete-network-acl --network-acl-id acl-5fb85d36
132,delete-network-acl-entry,to delete a network acl entry,"this example deletes ingress rule number 100 from the specified network acl. if the command succeeds, no output is returned.",aws ec2 delete-network-acl-entry --network-acl-id acl-5fb85d36 --ingress --rule-number 100
133,delete-network-insights-access-scope,to delete network insights access scope,the following delete-network-insights-access-scope example deletes the selected access scope in your aws account.,"aws ec2 delete-network-insights-access-scope 
    --region us-east-1 
    --network-insights-access-scope-id nis-123456789111"
134,delete-network-insights-analysis,to delete a path analysis,the following delete-network-insights-analysis example deletes the specified analysis.,"aws ec2 delete-network-insights-analysis 
    --network-insights-analysis-id nia-02207aa13eb480c7a"
135,delete-network-insights-path,to delete a path,"the following delete-network-insights-path example deletes the specified path. before you can delete a path, you must delete all its analyses using the delete-network-insights-analysis command.","aws ec2 delete-network-insights-path 
    --network-insights-path-id nip-0b26f224f1d131fa8"
136,delete-network-interface,to delete a network interface,"this example deletes the specified network interface. if the command succeeds, no output is returned.",aws ec2 delete-network-interface --network-interface-id eni-e5aa89a3
137,delete-network-interface-permission,to delete a network interface permission,this example deletes the specified network interface permission.,aws ec2 delete-network-interface-permission --network-interface-permission-id eni-perm-06fd19020ede149ea
138,delete-placement-group,to delete a placement group,this example command deletes the specified placement group.,aws ec2 delete-placement-group --group-name my-cluster
139,delete-queued-reserved-instances,to delete a queued purchase,"the following delete-queued-reserved-instances example deletes the specified reserved instance, which was queued for purchase.","aws ec2 delete-queued-reserved-instances 
    --reserved-instances-ids af9f760e-6f91-4559-85f7-4980eexample"
140,delete-route,to delete a route,"this example deletes the specified route from the specified route table. if the command succeeds, no output is returned.",aws ec2 delete-route --route-table-id rtb-22574640 --destination-cidr-block 0.0.0.0/0
141,delete-route-table,to delete a route table,"this example deletes the specified route table. if the command succeeds, no output is returned.",aws ec2 delete-route-table --route-table-id rtb-22574640
142,delete-security-group,[ec2-classic] to delete a security group,"this example deletes the security group named mysecuritygroup. if the command succeeds, no output is returned.",aws ec2 delete-security-group --group-name MySecurityGroup
143,delete-snapshot,to delete a snapshot,"this example command deletes a snapshot with the snapshot id of snap-1234567890abcdef0. if the command succeeds, no output is returned.",aws ec2 delete-snapshot --snapshot-id snap-1234567890abcdef0
144,delete-spot-datafeed-subscription,to cancel a spot instance data feed subscription,"this example command deletes a spot data feed subscription for the account. if the command succeeds, no output is returned.",aws ec2 delete-spot-datafeed-subscription
145,delete-subnet,to delete a subnet,"this example deletes the specified subnet. if the command succeeds, no output is returned.",aws ec2 delete-subnet --subnet-id subnet-9d4a7b6c
146,delete-subnet-cidr-reservation,to delete a subnet cidr reservation,the following delete-subnet-cidr-reservation example deletes the specified subnet cidr reservation.,"aws ec2 delete-subnet-cidr-reservation 
    --subnet-cidr-reservation-id scr-044f977c4eEXAMPLE"
147,delete-tags, to delete a tag from a resource,"the following delete-tags example deletes the tag stack=test from the specified image. when you specify both a value and a key name, the tag is deleted only if the tag's value matches the specified value.","aws ec2 delete-tags 
    --resources ami-1234567890abcdef0 
    --tags Key=Stack,Value=Test"
148,delete-traffic-mirror-filter,to delete a traffic mirror filter,the following delete-traffic-mirror-filter example deletes the specified traffic mirror filter.,"aws ec2 delete-traffic-mirror-filter 
    --traffic-mirror-filter-id tmf-0be0b25fcdEXAMPLE"
149,delete-traffic-mirror-filter-rule,to delete a traffic mirror filter rule,the following delete-traffic-mirror-filter-rule example deletes the specified traffic mirror filter rule.,"aws ec2 delete-traffic-mirror-filter-rule 
    --traffic-mirror-filter-rule-id tmfr-081f71283bEXAMPLE"
150,delete-traffic-mirror-session,to delete a traffic mirror session,the following delete-traffic-mirror-session example deletes the specified traffic mirror-session.,"aws ec2 delete-traffic-mirror-session 
    --traffic-mirror-session-id tms-0af3141ce5EXAMPLE"
151,delete-traffic-mirror-target,to delete a traffic mirror target,the following delete-traffic-mirror-target example deletes the specified traffic mirror target.,"aws ec2 delete-traffic-mirror-target 
    --traffic-mirror-target-id tmt-060f48ce9EXAMPLE"
152,delete-transit-gateway,to delete a transit gateway,the following delete-transit-gateway example deletes the specified transit gateway.,"aws ec2  delete-transit-gateway 
    --transit-gateway-id tgw-01f04542b2EXAMPLE"
153,delete-transit-gateway-connect,to delete a transit gateway connect attachment,the following delete-transit-gateway-connect example deletes the specified connect attachment.,"aws ec2 delete-transit-gateway-connect 
    --transit-gateway-attachment-id tgw-attach-037012e5dcEXAMPLE"
154,delete-transit-gateway-connect-peer,to delete a transit gateway connect peer,the following delete-transit-gateway-connect-peer example deletes the specified connect peer.,"aws ec2 delete-transit-gateway-connect-peer 
    --transit-gateway-connect-peer-id tgw-connect-peer-0666adbac4EXAMPLE"
155,delete-transit-gateway-multicast-domain,to delete a transit gateway multicast domain,the following delete-transit-gateway-multicast-domain example deletes the specified multicast domain.,"aws ec2 delete-transit-gateway-multicast-domain 
    --transit-gateway-multicast-domain-id tgw-mcast-domain-0c4905cef7EXAMPLE"
156,delete-transit-gateway-peering-attachment,to delete a transit gateway peering attachment,the following delete-transit-gateway-peering-attachment example deletes the specified transit gateway peering attachment.,"aws ec2 delete-transit-gateway-peering-attachment 
    --transit-gateway-attachment-id tgw-attach-4455667788aabbccd"
157,delete-transit-gateway-prefix-list-reference,to delete a prefix list reference,the following delete-transit-gateway-prefix-list-reference example deletes the specified prefix list reference.,"aws ec2 delete-transit-gateway-prefix-list-reference 
    --transit-gateway-route-table-id tgw-rtb-0123456789abcd123 
    --prefix-list-id pl-11111122222222333"
158,delete-transit-gateway-route,to delete a cidr block from a route table,the following delete-transit-gateway-route example deletes the cidr block from the specified transit gateway route table.,"aws ec2 delete-transit-gateway-route 
    --transit-gateway-route-table-id tgw-rtb-0b6f6aaa01EXAMPLE 
    --destination-cidr-block 10.0.2.0/24"
159,delete-transit-gateway-route-table,to delete a transit gateway route table,the following delete-transit-gateway-route-table example deletes the specified transit gateway route table.,"aws ec2  delete-transit-gateway-route-table 
    --transit-gateway-route-table-id tgw-rtb-0b6f6aaa01EXAMPLE"
160,delete-transit-gateway-vpc-attachment,to delete a transit gateway vpc attachment,the following delete-transit-gateway-vpc-attachment example deletes the specified vpc attachment.,"aws ec2 delete-transit-gateway-vpc-attachment 
    --transit-gateway-attachment-id tgw-attach-0d2c54bdbEXAMPLE"
161,delete-volume,to delete a volume,"this example command deletes an available volume with the volume id of vol-049df61146c4d7901. if the command succeeds, no output is returned.",aws ec2 delete-volume --volume-id vol-049df61146c4d7901
162,delete-vpc,to delete a vpc,"this example deletes the specified vpc. if the command succeeds, no output is returned.",aws ec2 delete-vpc --vpc-id vpc-a01106c2
163,delete-vpc-endpoint-connection-notifications,to delete an endpoint connection notification,this example deletes the specified endpoint connection notification.,aws ec2 delete-vpc-endpoint-connection-notifications --connection-notification-ids vpce-nfn-008776de7e03f5abc
164,delete-vpc-endpoint-service-configurations,to delete an endpoint service configuration,this example deletes the specified endpoint service configuration.,aws ec2 delete-vpc-endpoint-service-configurations --service-ids vpce-svc-03d5ebb7d9579a2b3
165,delete-vpc-endpoints,to delete an endpoint,"this example deletes endpoints vpce-aa22bb33 and vpce-1a2b3c4d. if the command is partially successful or unsuccessful, a list of unsuccessful items is returned. if the command succeeds, the returned list is empty.",aws ec2 delete-vpc-endpoints --vpc-endpoint-ids vpce-aa22bb33 vpce-1a2b3c4d
166,delete-vpc-peering-connection,to delete a vpc peering connection,this example deletes the specified vpc peering connection.,aws ec2 delete-vpc-peering-connection --vpc-peering-connection-id pcx-1a2b3c4d
167,delete-vpn-connection,to delete a vpn connection,"this example deletes the specified vpn connection. if the command succeeds, no output is returned.",aws ec2 delete-vpn-connection --vpn-connection-id vpn-40f41529
168,delete-vpn-connection-route,to delete a static route from a vpn connection,"this example deletes the specified static route from the specified vpn connection. if the command succeeds, no output is returned.",aws ec2 delete-vpn-connection-route --vpn-connection-id vpn-40f41529 --destination-cidr-block 11.12.0.0/16
169,delete-vpn-gateway,to delete a virtual private gateway,"this example deletes the specified virtual private gateway. if the command succeeds, no output is returned.",aws ec2 delete-vpn-gateway --vpn-gateway-id vgw-9a4cacf3
170,deprovision-byoip-cidr,to remove an ip address range from use,the following example removes the specified address range from use with aws.,"aws ec2 deprovision-byoip-cidr 
    --cidr 203.0.113.25/24"
171,deprovision-ipam-pool-cidr,to deprovision an ipam pool cidr,the following deprovision-ipam-pool-cidr example deprovisions a cidr provisioned to an ipam pool.,"aws ec2 deprovision-ipam-pool-cidr 
    --ipam-pool-id ipam-pool-02ec043a19bbe5d08 
    --cidr 11.0.0.0/16"
172,deregister-image,to deregister an ami,"this example deregisters the specified ami. if the command succeeds, no output is returned.",aws ec2 deregister-image --image-id ami-4fa54026
173,deregister-instance-event-notification-attributes, to remove all tags from event notifications,"the following deregister-instance-event-notification-attributes example removes includealltagsofinstance=true, which has the effect of setting includealltagsofinstance to false.","aws ec2 deregister-instance-event-notification-attributes 
    --instance-tag-attribute IncludeAllTagsOfInstance=true"
174,deregister-transit-gateway-multicast-group-members,to deregister group members from a multicast group,this example deregisters the specified network interface group member from the transit gateway multicast group.,"aws ec2 deregister-transit-gateway-multicast-group-members 
    --transit-gateway-multicast-domain-id tgw-mcast-domain-0c4905cef7EXAMPLE 
    --group-ip-address 224.0.1.0 
    --network-interface-ids eni-0e246d3269EXAMPLE"
175,describe-account-attributes,to describe all the attributes for your aws account,this example describes the attributes for your aws account.,aws ec2 describe-account-attributes
176,describe-addresses, to retrieve details about all of your elastic ip addresses,the following describe addresses example displays details about your elastic ip addresses.,aws ec2 describe-addresses
177,describe-addresses-attribute,to view the attributes of the domain name associated with an elastic ip address,the following describe-addresses-attribute examples return the attributes of the domain name associated with the elastic ip address.,"aws ec2 describe-addresses-attribute 
    --allocation-ids eipalloc-abcdef01234567890 
    --attribute domain-name"
178,describe-aggregate-id-format,to describe the longer id format settings for all resource types in a region,the following describe-aggregate-id-format example describes the overall long id format status for the current region. the deadline value indicates that the deadlines for these resources to permanently switch from the short id format to the long id format expired. the uselongidsaggregated value indicates that all iam users and iam roles are configured to use long id format for all resource types.,aws ec2 describe-aggregate-id-format
179,describe-availability-zones,to describe your availability zones,"the following example describe-availability-zones displays details for the availability zones that are available to you. the response includes availability zones only for the current region. in this example, it uses the profiles default us-west-2 (oregon) region.",aws ec2 describe-availability-zones
180,describe-bundle-tasks,to describe your bundle tasks,this example describes all of your bundle tasks.,aws ec2 describe-bundle-tasks
181,describe-byoip-cidrs,to describe your provisioned address ranges,the following describe-byoip-cidrs example displays details about the public ipv4 address ranges that you provisioned for use by aws.,aws ec2 describe-byoip-cidrs
182,describe-capacity-reservation-fleets,to view a capacity reservation fleet,the following describe-capacity-reservation-fleets example lists configuration and capacity information for the specified capacity reservation fleet. it also lists details about the individual capacity reservations that are inside the fleet.:,"aws ec2 describe-capacity-reservation-fleets 
    --capacity-reservation-fleet-ids crf-abcdef01234567890"
183,describe-capacity-reservations, to describe one or more of your capacity reservations,the following describe-capacity-reservations example displays details about all of your capacity reservations in the current aws region.,aws ec2 describe-capacity-reservations
184,describe-carrier-gateways,to describe all carrier gateways,the following describe-carrier-gateways example lists all your carrier gateways.,aws ec2 describe-carrier-gateways
185,describe-classic-link-instances,to describe linked ec2-classic instances,this example lists all of your linked ec2-classic instances.,aws ec2 describe-classic-link-instances
186,describe-client-vpn-authorization-rules,to describe the authorization rules for a client vpn endpoint,the following describe-client-vpn-authorization-rules example displays details about the authorization rules for the specified client vpn endpoint.,"aws ec2 describe-client-vpn-authorization-rules 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde"
187,describe-client-vpn-connections,to describe the connections to a client vpn endpoint,the following describe-client-vpn-connections example displays details about the client connections to the specified client vpn endpoint.,"aws ec2 describe-client-vpn-connections 
    --client-vpn-endpoint-id cvpn-endpoint-123456789123abcde"
188,describe-client-vpn-endpoints,to describe your client vpn endpoints,the following describe-client-vpn-endpoints example displays details about all of your client vpn endpoints.,aws ec2 describe-client-vpn-endpoints
